ID,Transaction,Date
Tx hash: 8e6d83c878853c22a0adefd864c7d1dc66bb44543d1a6ce309c62b999a163c16,GDA4M7CYRQXR5NPZVDXT3RL2X3VUBBUP6PM2JLZX7MPHFUQO5EZ7BCZ3 sent 5 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:43:14 UTC
Tx hash: f78d574827bca04fa5359f67e19f2b98bfe06cb3ee5b8f67bd87a58dc0558fe4,GC4FKQPAXS3OOAYDUNFQWPLA5QOK33AK4MEBTZT4OOXS3X36F2PGDAEP sent 5 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:42:56 UTC
Tx hash: 458e6a597cbb32bc87b4e82ee86ccdb51ca24759808a039d8b25222695af3d43,GASGHTJB7BZYDGQM33ZV6Z6ILSTW5EMELXY25LAEH6OH3GNDC3SNDSD3 sent 17 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:42:33 UTC
Tx hash: ba9c45142254e42e91f57b8075f6f407988aab13d5cff4fc343ae3cffbf4796e,GCX5GJV3BRDZAUQZHU4ML2KUK5XUNJN4UCLVR3QRM2D2QNEKAJU5GUKA sent 10 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:42:26 UTC
Tx hash: 1f46b4f39b1cfd81bd64a056ee0297f2acb568c2d207847a5a670ca1679fce9c,GDHOEMUHXIUTRFZCLF5NJQD22YU674QTX43BPH55JEP5FR4EHGNIGMBO sent 50 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:41:05 UTC
Tx hash: 7590597b663d67de8c88ab2cc3a36e15ebf85332068fef2481acaa94bc9f6de2,GDKC6JWCAJ7UED7FYWNV527PKPE6L7MIXLR7SNEBFNGHRD4YY5W7NY4W sent 10 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:40:15 UTC
Tx hash: b3d45b21a2dd277a32d9a2a89d9161d217922a0a32853d7921c8d64076d81da9,GCSIAICKXGGBRD27SFQZL6HJGVN6NOZNNIIR7LU6C3WV72NE374CYN26 sent 5 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:40:15 UTC
Tx hash: 9df67f9aebcb1f6821c320d0f7bd601c6d5f9159d5a02ff47e2e20454fc7e3e7,GDKHMSDVNNIMF5ZBXPFD67A27FCAPKUZLMG64FJQAMMFJLQ2KNRBTVMJ sent 1 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:40:15 UTC
Tx hash: 501920a3da089d186c2934ff5ac922e5e67284c8f501a33e51be44c105f5e865,GCP5DGCJINW263Y2MLSEO3JFPOTSMJLNJECDMBQDQRG5GUYS62J3NVOT sent 5 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:38:21 UTC
Tx hash: 12b84f29ed2bbbc00a8deda60b44e1730d34950b789a35b5d6b145002e448289,GDQQACVNJFDH24J2CJOKAHXOKXPFJQ4RLCSL7NUOQ3UUGQHNEY5KIVGD sent 3 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:37:53 UTC
Tx hash: 3142ade627a2d4a4bc6c04e09ef17399fdb2a40ace99f661e08198f91b59b2de,GA4CAD2WOJVPZOOGO4LYG2HHZOULJL2BPSRVO4C4ESMRWQKLVVBCPNGZ sent 99 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:37:47 UTC
Tx hash: a3b4cad40f96b8e886b44138e40426ac7ea967805f79adc4416adce9a8002468,GBHPRG3KAD7AGO5BFHYTL47P6JVMQ57YN5E2UD7HCXRTM3ONFIYKPIBO sent 1 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:37:20 UTC
Tx hash: 13b0740b113e83351ac432b5c092b66ace8cc55aec3f83916d0ac91744a529c5,GCFT6XBJSSRVXZJHCRJNZCE3OR7QZID2PFHJN46HMQP4IKRBV5CUWTYL sent 2 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:37:03 UTC
Tx hash: 11c750383f20da70d15605b5ce94040b995d456f31f01dbd94f1b96d4ed88412,GC5UHZYDH7HDQNQEPXSUOHGBM6ABKT5CHLYRSXTDXLMP6WXEGP3ZF2W4 sent 11 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:36:57 UTC
Tx hash: 9beedcece222b927770b89dc261b63d6f89817df1e71a7faf625204255e8a50c,GBLP7VC5YIQIFQ3XG5BTSWSRWLKZVFCXLCK6ZH6T5VSNRGAYWI7IX27U sent 50 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:36:12 UTC
Tx hash: 894b2f92f762ceb784ae187d87c54f7aef7aaa8b5f2dfc2c6bfd58cf83b3f519,GDIMDFG4NSX6DU25LJ66PYBCLH64SDVUIPGQSY7SCC35FOSFL2KNLUSB sent 50 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:35:44 UTC
Tx hash: 7df0d956cdecbc86fcf12f4e53d36c7cbe4d17f1bb6e763ef3dc7d50115fa8bf,GCTIGUNOJSCLNLGFIG5KIR6GEYJA4LHLWWEHRKPRENAHWDWQCUZQ2NGH sent 30 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:35:38 UTC
Tx hash: 4c0952f92c496f6791e71fe4fef1005764220b88e4c8dfdf0eb882f17bfb056b,GCCWMSBSZEWDY2SFQ4J6M2LVBEFMZ5AIHJDPHZZSFKEDND6T2PNQLT2P sent 15 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:35:16 UTC
Tx hash: e0ddbafc261537f4a5d72f500a29ad28c8c9e7abea1c0f18517b2cf8f4d06c8d,GANWKUBHE3XM754SHBHKO5IM4L5QZ4MO2RW5WILYCPQCBKFO7EKZOUKG sent 10 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:35:00 UTC
Tx hash: fa8725eabffab830abf30df4db08076090c0a1d9298549b9932c1d00097ac553,GBTL5VLMA7FYQEM3XSB523AYEU3JB2NQZ4KE5W5WKDTL3E5TCF62OSQU sent 17 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:34:54 UTC
Tx hash: 710e9841bdc198d50e928e64bce4875ef73d56d8479d2a292db2c69b6b9eae27,GCNPT6OOCZGP2YEXWZWANJCVL4WF5KNZDK7FT2IJHNJYOPSLZBJBVZPW sent 5 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:34:43 UTC
Tx hash: 83c7f197d6b0834abd43d9e743ce0f95e56df80103844c036c999df3c7ae7a52,GB3V5S5KGPVQGWN7RMHPWYOOSZOKTJSBDDN755V6KAAZKJ2U56TPL6YG sent 3 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:34:26 UTC
Tx hash: 66e86bc008c906885c0c0278242c614c976f940f3d6927639efc747a3262adc7,GB6KSCFBXDNYTUP4TWNVGFW7QAXROHUPDICLS2FOTDJDHG4Z5Q3ETH5R sent 3 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:34:16 UTC
Tx hash: 59a90e43696f852d510a1b1c9db5d3c378b0afdff1c6ca6154d1364ef9a69dfd,GDIMDFG4NSX6DU25LJ66PYBCLH64SDVUIPGQSY7SCC35FOSFL2KNLUSB sent 50 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:33:59 UTC
Tx hash: f3751bfea353c841394f2b174e9b99c9f8e8c660c364bcb5c148b465b4628002,GDIG677WY4LMKUTIY7MOADXE2ZOVU6TSH2I75YVKNG24NBMUMMHROJJM sent 15 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:33:31 UTC
Tx hash: 85ee048eb833cd39e573521442c0bfb6d6fe9342b537593736f1729130143288,GB3CQDLVODV5SX7OG4OJQPVKO5DJ7L3IB6RKPS6MUDO5CKLCO67K6XAA sent 2 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:33:31 UTC
Tx hash: 5852b7bc0c3ba00e1e9f0a4761151840b68492d8ba36f26de218932ecbb5699f,GBVVKX4H7D2IFNHIW3MROSFY7MBLPOB3Q4F4ZOSJYWJHC6I4EWQVAVQS sent 70 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:33:31 UTC
Tx hash: b99a3c69a1c5648725cfdfc638b4df483d46d6ac64a1f2236acb32cfed6df3e7,GA5ULOGI5U3VDERTNC365FMRQRIEOC3TLNRGOZV3CCCC7FGTCB43YU3J sent 10 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:33:02 UTC
Tx hash: 925442248cf77bc5e55c20770df788e2c9867b944bec3831ad0d789fd8990219,GDUYRPWOK4XKU53TVVNTLHSCAQ3NJ5HBDKZRB6H3VMT3DK36DVM27XJC sent 3 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:33:02 UTC
Tx hash: 44d6c5e80eb660f9d9041111041006afe8e81638079172bb0798575a3f3cf992,GB3V5S5KGPVQGWN7RMHPWYOOSZOKTJSBDDN755V6KAAZKJ2U56TPL6YG sent 3 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:33:02 UTC
Tx hash: 093b1b41d8cd5cf5556fe36298c3c4c7a0e35badb176cc8366db6eb415af3ad9,GACRWDT5WXQ7L2VSYKSY6MWZZK2MKYBA2WIP6CGR6VY3VSQXWB5ADAC3 sent 10 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:32:27 UTC
Tx hash: a4ddd924bdd75e7d6d1a1e0c31643ee647a8552d49d75105b12de46a8faa9768,GD63VMEIYR4ZS64JIIRB5J7DCUSQ7AFB3MNIL7IBCKUWF64IRNEGUK6J sent 15 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:32:16 UTC
Tx hash: e2daad328cb1e98170b867c4f931f70f13961ff2e965c7360fd24050455f388f,GCMKDKONYP746ON6BPRTMGKG57BKZQ2QHKPD52VTMWMRFTAWE63UTKUA sent 30 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:31:53 UTC
Tx hash: b98cde26034a62234eced2cd54a6ec93edd95f8ea83cecc9f28d158e60060c5c,GD66D4I2TLVMBMRLEJKOTOX4J4MM7H4TSRSJUKV2F2LI4LY777JDXVTX sent 1 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:31:36 UTC
Tx hash: 3c685472911573ca00a92c1f61453ddeed03d3fe32f59450c556d4143048f477,GAQSAFLGW6AVTI22WJBFX2OF5QHJF6HQRO4KJZGPXMTE2JCESLMQ3Z3N sent 2 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:31:30 UTC
Tx hash: a05debfff1d3e2fd98b980f3c2428879cbb31150766914ed4f8588103fad96be,GCZZR4BG33R73CKTZRRI5ENJUVWK7KYUM6JCIRETNYNASV2BWAVCAYKB sent 10 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:31:12 UTC
Tx hash: e356092a38e40c9bcbcce662b0ddce8f72e3b9046d104057d4d63c0c1d29456a,GADYYVA7JQR2TNG4ABNWUNZEOHWW3YWS7OUBGDUCA3DXQWC5OE2FYRR6 sent 5 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:31:01 UTC
Tx hash: d9556826522e9e59090f2ab25dec15cf3bf3441e781e39f626ca9665d1082ec0,GBXUBAVPKNPTBMDISYVF2ITDSJKXKOQECIF22QOON2IRFVCK3BALN4E7 sent 5 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:30:08 UTC
Tx hash: 9c51aab6aa56e552c9bc790b60657db26afaa145882cb4b12edd237e5f2a599f,GBH75XTR2OJAKCN5BZJ3EVKGPLG6STRTG7XJKNDX2LAYXZ77DV4YRSNI sent 3 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:29:56 UTC
Tx hash: 5925a06469a6604a975e595e92b118ff5876c9340fadbc35743fc3630c47cdea,GCSQDF2SF6XV6LQ2ERIVQAGKPCED7MQF6E2TGOGTEFXVGCVWNAIH4KFB sent 10 XLM to GDIKMIUVR5D2RTPXS2KFKD3VMQQ3AFSCYYEATKYWFXJUZSMSEZ3OFOXGMemo: REBIRTH,2025-09-09 15:28:55 UTC
